language,string,1,2,3,4
ja,summary_entertainment,遊ぶ,遊ぶ,遊ぶ,遊ぶ
ja,browse_subcategory_parks,公園,公園,公園,公園
ja,summary_coffee,コーヒーnショップ,コーヒー,コーヒーショップ,コーヒーnショップ
