language,string,1,2,3,4
vi,1,Đồ uống,Đồ uống,Cửa hàng Đồ uống,Đồ uống
vi,2,Ngân hàng & Tín dụng,Ngân hàng & Tín dụng,Ngân hàng & Tín dụng,Ngân hàng & Tín dụng
vi,3,Du lịch,Du lịch,Du lịch,Du lịch
